"Time","Federal Funds Effective Rate USA  - %"
"201808",1.910
"201807",1.910
"201806",1.820
"201805",1.700
"201804",1.690
"201803",1.510
"201802",1.420
"201801",1.410
"201712",1.300
"201711",1.160
"201710",1.150
"201709",1.150
"201708",1.160
"201707",1.150
"201706",1.040
"201705",0.910
"201704",0.900
"201703",0.790
"201702",0.660
"201701",0.650
"201612",0.540
"201611",0.410
"201610",0.400
"201609",0.400
"201608",0.400
"201607",0.390
"201606",0.380
"201605",0.370
"201604",0.370
"201603",0.360
"201602",0.380
"201601",0.340
"201512",0.240
"201511",0.120
"201510",0.120
"201509",0.140
"201508",0.140
"201507",0.130
"201506",0.130
"201505",0.120
"201504",0.120
"201503",0.110
"201502",0.110
"201501",0.110
"201412",0.120
"201411",0.090
"201410",0.090
"201409",0.090
"201408",0.090
"201407",0.090
"201406",0.100
"201405",0.090
"201404",0.090
"201403",0.080
"201402",0.070
"201401",0.070
"201312",0.090
"201311",0.080
"201310",0.090
"201309",0.080
"201308",0.080
"201307",0.090
"201306",0.090
"201305",0.110
"201304",0.150
"201303",0.140
"201302",0.150
"201301",0.140
"201212",0.160
"201211",0.160
"201210",0.160
"201209",0.140
"201208",0.130
"201207",0.160
"201206",0.160
"201205",0.160
"201204",0.140
"201203",0.130
"201202",0.100
"201201",0.080
"201112",0.070
"201111",0.080
"201110",0.070
"201109",0.080
"201108",0.100
"201107",0.070
"201106",0.090
"201105",0.090
"201104",0.100
"201103",0.140
"201102",0.160
"201101",0.170
"201012",0.180
"201011",0.190
"201010",0.190
"201009",0.190
"201008",0.190
"201007",0.180
"201006",0.180
"201005",0.200
"201004",0.200
"201003",0.160
"201002",0.130
"201001",0.110
"200912",0.120
"200911",0.120
"200910",0.120
"200909",0.150
"200908",0.160
"200907",0.160
"200906",0.210
"200905",0.180
"200904",0.150
"200903",0.180
"200902",0.220
"200901",0.150
"200812",0.160
"200811",0.390
"200810",0.970
"200809",1.810
"200808",2.000
"200807",2.010
"200806",2.000
"200805",1.980
"200804",2.280
"200803",2.610
"200802",2.980
"200801",3.940
"200712",4.240
"200711",4.490
"200710",4.760
"200709",4.940
"200708",5.020
"200707",5.260
"200706",5.250
"200705",5.250
"200704",5.250
"200703",5.260
"200702",5.260
"200701",5.250
"200612",5.240
"200611",5.250
"200610",5.250
"200609",5.250
"200608",5.250
"200607",5.240
"200606",4.990
"200605",4.940
"200604",4.790
"200603",4.590
"200602",4.490
"200601",4.290
"200512",4.160
"200511",4.000
"200510",3.780
"200509",3.620
"200508",3.500
"200507",3.260
"200506",3.040
"200505",3.000
"200504",2.790
"200503",2.630
"200502",2.500
"200501",2.280
"200412",2.160
"200411",1.930
"200410",1.760
"200409",1.610
"200408",1.430
"200407",1.260
"200406",1.030
"200405",1.000
"200404",1.000
"200403",1.000
"200402",1.010
