"Time","Unemployment Rate - Seasonally Adjusted USA  - %"
"201808",3.9
"201807",3.9
"201806",4.0
"201805",3.8
"201804",3.9
"201803",4.1
"201802",4.1
"201801",4.1
"201712",4.1
"201711",4.1
"201710",4.1
"201709",4.2
"201708",4.4
"201707",4.3
"201706",4.3
"201705",4.3
"201704",4.4
"201703",4.5
"201702",4.7
"201701",4.8
"201612",4.7
"201611",4.6
"201610",4.9
"201609",5.0
"201608",4.9
"201607",4.9
"201606",4.9
"201605",4.7
"201604",5.0
"201603",5.0
"201602",4.9
"201601",4.9
"201512",5.0
"201511",5.0
"201510",5.0
"201509",5.0
"201508",5.1
"201507",5.2
"201506",5.3
"201505",5.5
"201504",5.4
"201503",5.5
"201502",5.5
"201501",5.7
"201412",5.6
"201411",5.8
"201410",5.7
"201409",5.9
"201408",6.2
"201407",6.2
"201406",6.1
"201405",6.3
"201404",6.3
"201403",6.7
"201402",6.7
"201401",6.6
"201312",6.7
"201311",6.9
"201310",7.2
"201309",7.2
"201308",7.2
"201307",7.3
"201306",7.5
"201305",7.5
"201304",7.6
"201303",7.5
"201302",7.7
"201301",8.0
"201212",7.9
"201211",7.7
"201210",7.8
"201209",7.8
"201208",8.1
"201207",8.2
"201206",8.2
"201205",8.2
"201204",8.2
"201203",8.2
"201202",8.3
"201201",8.3
"201112",8.5
"201111",8.6
"201110",8.8
"201109",9.0
"201108",9.0
"201107",9.0
"201106",9.1
"201105",9.0
"201104",9.1
"201103",9.0
"201102",9.0
"201101",9.1
"201012",9.3
"201011",9.8
"201010",9.4
"201009",9.5
"201008",9.5
"201007",9.4
"201006",9.4
"201005",9.6
"201004",9.9
"201003",9.9
"201002",9.8
"201001",9.8
"200912",9.9
"200911",9.9
"200910",10.0
"200909",9.8
"200908",9.6
"200907",9.5
"200906",9.5
"200905",9.4
"200904",9.0
"200903",8.7
"200902",8.3
"200901",7.8
"200812",7.3
"200811",6.8
"200810",6.5
"200809",6.1
"200808",6.1
"200807",5.8
"200806",5.6
"200805",5.4
"200804",5.0
"200803",5.1
"200802",4.9
"200801",5.0
"200712",5.0
"200711",4.7
"200710",4.7
"200709",4.7
"200708",4.6
"200707",4.7
"200706",4.6
"200705",4.4
"200704",4.5
"200703",4.4
"200702",4.5
"200701",4.6
"200612",4.4
"200611",4.5
"200610",4.4
"200609",4.5
"200608",4.7
"200607",4.7
"200606",4.6
"200605",4.6
"200604",4.7
"200603",4.7
"200602",4.8
"200601",4.7
"200512",4.9
"200511",5.0
"200510",5.0
"200509",5.0
"200508",4.9
"200507",5.0
"200506",5.0
"200505",5.1
"200504",5.2
"200503",5.2
"200502",5.4
"200501",5.3
"200412",5.4
"200411",5.4
"200410",5.5
"200409",5.4
"200408",5.4
"200407",5.5
"200406",5.6
"200405",5.6
"200404",5.6
"200403",5.8
"200402",5.6
"200401",5.7
"200312",5.7
"200311",5.8
"200310",6.0
"200309",6.1
"200308",6.1
"200307",6.2
"200306",6.3
"200305",6.1
"200304",6.0
"200303",5.9
"200302",5.9
"200301",5.8
"200212",6.0
"200211",5.9
"200210",5.7
"200209",5.7
"200208",5.7
"200207",5.8
"200206",5.8
"200205",5.8
"200204",5.9
"200203",5.7
"200202",5.7
"200201",5.7
"200112",5.7
"200111",5.5
"200110",5.3
"200109",5.0
"200108",4.9
"200107",4.6
"200106",4.5
"200105",4.3
"200104",4.4
"200103",4.3
"200102",4.2
