"Time","Total Housing Starts - Seasonally Adjusted USA  - #"
"201807",1168000
"201806",1158000
"201805",1329000
"201804",1276000
"201803",1327000
"201802",1290000
"201801",1334000
"201712",1210000
"201711",1303000
"201710",1265000
"201709",1158000
"201708",1172000
"201707",1185000
"201706",1225000
"201705",1122000
"201704",1165000
"201703",1179000
"201702",1289000
"201701",1225000
"201612",1280000
"201611",1151000
"201610",1327000
"201609",1064000
"201608",1161000
"201607",1225000
"201606",1183000
"201605",1133000
"201604",1173000
"201603",1115000
"201602",1202000
"201601",1114000
"201512",1155000
"201511",1171000
"201510",1064000
"201509",1212000
"201508",1134000
"201507",1133000
"201506",1185000
"201505",1079000
"201504",1203000
"201503",963000
"201502",888000
"201501",1094000
"201412",1068000
"201411",1001000
"201410",1077000
"201409",1020000
"201408",983000
"201407",1082000
"201406",903000
"201405",1008000
"201404",1049000
"201403",970000
"201402",941000
"201401",890000
"201312",1002000
"201311",1100000
"201310",925000
"201309",850000
"201308",917000
"201307",880000
"201306",839000
"201305",930000
"201304",835000
"201303",1010000
"201302",962000
"201301",888000
"201212",976000
"201211",833000
"201210",915000
"201209",847000
"201208",754000
"201207",740000
"201206",757000
"201205",708000
"201204",753000
"201203",695000
"201202",704000
"201201",723000
"201112",694000
"201111",711000
"201110",610000
"201109",650000
"201108",585000
"201107",623000
"201106",608000
"201105",561000
"201104",554000
"201103",600000
"201102",517000
"201101",630000
"201012",539000
"201011",545000
"201010",543000
"201009",594000
"201008",599000
"201007",546000
"201006",536000
"201005",583000
"201004",687000
"201003",636000
"201002",604000
"201001",614000
"200912",581000
"200911",588000
"200910",534000
"200909",585000
"200908",586000
"200907",594000
"200906",585000
"200905",540000
"200904",478000
"200903",505000
"200902",582000
"200901",490000
"200812",560000
"200811",652000
"200810",777000
"200809",820000
"200808",844000
"200807",923000
"200806",1046000
"200805",973000
"200804",1013000
"200803",1005000
"200802",1103000
"200801",1084000
"200712",1037000
"200711",1197000
"200710",1264000
"200709",1183000
"200708",1330000
"200707",1354000
"200706",1448000
"200705",1415000
"200704",1490000
"200703",1495000
"200702",1480000
"200701",1409000
"200612",1649000
"200611",1570000
"200610",1491000
"200609",1720000
"200608",1650000
"200607",1737000
"200606",1802000
"200605",1942000
"200604",1821000
"200603",1969000
"200602",2119000
"200601",2273000
"200512",1994000
"200511",2147000
"200510",2065000
"200509",2151000
"200508",2095000
"200507",2054000
"200506",2068000
"200505",2025000
"200504",2061000
"200503",1864000
"200502",2207000
"200501",2144000
"200412",2042000
"200411",1782000
"200410",2072000
"200409",1905000
"200408",2024000
"200407",2002000
"200406",1828000
"200405",1981000
"200404",2003000
"200403",1998000
"200402",1846000
"200401",1911000
"200312",2057000
"200311",2083000
"200310",1967000
"200309",1939000
"200308",1833000
"200307",1897000
"200306",1867000
"200305",1751000
"200304",1643000
"200303",1726000
"200302",1629000
"200301",1853000
"200212",1788000
"200211",1753000
"200210",1648000
"200209",1804000
"200208",1633000
"200207",1655000
"200206",1717000
"200205",1764000
"200204",1592000
"200203",1642000
"200202",1829000
"200201",1698000
"200112",1568000
"200111",1602000
"200110",1540000
"200109",1562000
"200108",1567000
"200107",1670000
"200106",1636000
"200105",1605000
"200104",1649000
"200103",1590000
"200102",1625000
"200101",1600000
"200012",1532000
"200011",1551000
"200010",1549000
"200009",1507000
"200008",1541000
"200007",1463000
"200006",1559000
"200005",1575000
"200004",1626000
"200003",1604000
"200002",1737000
"200001",1636000
"199912",1708000
"199911",1648000
"199910",1608000
"199909",1635000
"199908",1648000
"199907",1669000
"199906",1559000
"199905",1611000
"199904",1553000
"199903",1710000
"199902",1670000
"199901",1748000
"199812",1792000
"199811",1660000
"199810",1715000
"199809",1582000
"199808",1614000
"199807",1698000
"199806",1641000
"199805",1536000
"199804",1540000
"199803",1567000
"199802",1584000
"199801",1525000
"199712",1566000
"199711",1510000
"199710",1520000
"199709",1546000
"199708",1390000
"199707",1437000
"199706",1494000
"199705",1442000
"199704",1492000
"199703",1457000
"199702",1486000
"199701",1355000
"199612",1370000
"199611",1489000
"199610",1392000
"199609",1475000
"199608",1557000
"199607",1472000
"199606",1467000
"199605",1504000
"199604",1516000
"199603",1424000
"199602",1491000
"199601",1467000
"199512",1431000
"199511",1452000
"199510",1369000
"199509",1369000
"199508",1416000
"199507",1461000
"199506",1281000
"199505",1314000
"199504",1267000
"199503",1249000
"199502",1316000
"199501",1407000
"199412",1455000
"199411",1511000
"199410",1450000
"199409",1474000
"199408",1450000
"199407",1439000
"199406",1409000
"199405",1526000
"199404",1465000
"199403",1564000
"199402",1337000
"199401",1272000
"199312",1533000
"199311",1376000
"199310",1392000
"199309",1343000
"199308",1300000
"199307",1254000
"199306",1280000
"199305",1260000
"199304",1258000
"199303",1083000
"199302",1210000
"199301",1210000
"199212",1227000
"199211",1214000
"199210",1244000
"199209",1186000
"199208",1226000
"199207",1139000
"199206",1145000
"199205",1214000
"199204",1099000
"199203",1297000
"199202",1250000
"199201",1176000
"199112",1079000
"199111",1103000
"199110",1079000
"199109",1015000
"199108",1049000
"199107",1063000
"199106",1036000
"199105",996000
"199104",1001000
"199103",921000
